Name,Degrees,Department,Department2,Rank,AdministrativePosition
"Deroo,Bonnie Joanne ",Ph.D. at Western ; BSc at WATERLOO ,Obstetrics & Gynaecology/Biochemistry/Oncology ,,Assistant Professor ,
"Derry,Paul Allan ",BA MA Ph.D. at Western ,Psychology ,,Assistant Professor ,
"Desai,Hiren Bhupendra ",BMSc at BOMBAY ,Clinical Neurological Science/Schulich - Education Office/Schu ,,Adjunct/MD ,
"Desbarats,Peter ",,Commun & Open Learning-General ,,Professor Emeritus ,
"Descartes,Lara ","BS Massachusetts, MS U of California, MA, Ph.D. U of Michigan ",Sociology ,,Adjunct Research Professor ,
"Deshpande,Ashish ",MBBS Bombay Univ INDIA ,Paediatrics/Schulich - Education Office ,,Adjunct/MD ,
"Desjardins,Eric ",BSc U Du Quebec a Montreal; Ph.D. UBC ,Philosophy ,,Assistant Professor ,
"Despard,Caroline M ",CCFP FCFPC BSc MD at TORONTO ,Family Medicine - General ,,Adjunct/MD ,
"Deutscher,Terry ","BSc Eng Alberta; MBA, Ph.D. Stanford; ",Business - Associate Dean ,,Professor Emeritus ,
"Devarajan,Sivakumaran ",MD LKA ,Psychiatry - Ext Camp Program/Schulich - Education Office ,,Adjunct/MD ,
"DeVaul-Fetters,Amanda ",BMUS Wilfrid Laurier; MMu Western ,Psychology ,,Lecturer ,
"Devereux,Joanna M ",BA/Ph.D. Ontario ,English ,,Assistant Professor ,
"Devries-Rizzo,Margo ","BA, MA Ontario ",Nursing ,,Adjunct Assistant Professor ,
"Dewdney,Keewatin A. ","BA ; MA, Ph.D. Waterloo; ",Computer Science ,,Professor Emeritus ,
"Dewit,David James ",MA Ph.D. at Western ,Epidemiology and Biostatistics ,,Adjunct Associate Professor ,
"Dhami,Rita ",BS Univ of Toronto ,Physical Therapy ,,Lecturer ,
"Dhanda,Amita ","BA and Ph.D., Univ of Delhi, IND ",Law - Office of the Dean ,,Professor ,
"Dhanvantari,Savita ",Bachelors; Ph.D. Canada ,Department of Medicine/Medical Biophysics ,,Assistant Professor ,
"Dhar,Anil ",MBBS at KASHMIR ,Department of Medicine/Schulich - Education Office ,,Adjunct/MD ,
"Dhaubhadel,Sangeeta ","BSc Haryana Agric India, Ph.D. Western ",Department of Biology ,,Adjunct Research Professor ,
"Dhillon,Ajneet S ",BSc Sydney; Ph.D. Purdue ,Mathematics ,,Associate Professor ,
"Dhinsa,Shaya Anne ","BS, M Ed Western ",Nursing ,,Lecturer ,
"Dhir,Achal ",MD at LLRM MED COL ; FRCA at LONDON ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,
"Dhir,Shalini L. ",MBBS MD LMCC ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,
"Di Ciacca,Stephen R ","BS, MPT Western ",Physical Therapy ,,Lecturer ,
"Di Guglielmo,John ",BSc Ph.D. at MCGILL ,Physiology and Pharmacology ,,Associate Professor ,
"Di Ponio,Amanda Nina ",BA Western; DGER U of Cologne DEU; Ph.D. U of St Andrews GBR ,English ,,Assistant Professor ,
"Di Stefano,Joseph ",BA/Ph.D. USA ,Business - Associate Dean ,,Professor Emeritus ,
"Diachun,Laura Lee ",BASc MD FRCPCan at MCMASTER ; MEd at TORONTO ; FRCPCan at Western ,Department of Medicine ,,Associate Professor/MD ,
"Diamantouros,Pantelis ",LMCC FRCPCan MD at Queen's ; ScD at TORONTO ,Department of Medicine ,,Assistant Professor/MD ,
"Dias,Bryan Francis ",FRCPCan FRCPCan at MCMASTER ; BS BSc MD MD at SASKATCHEWAN ,Department of Medicine ,,Associate Professor/MD ,
"DiCecco,Robert ",FRCSCan BSc MD at TORONTO ,Obstetrics & Gynaecology ,,Associate Professor/MD ,
"Dicerni,Richard ",BA College Sainte Marie QC; MPA Harvard USA ,Business - Associate Dean ,,Adjunct Research Professor ,
"Dick,Caroline Margaret ",BA McMaster; MA Toronto; LLB; Ph.D. Queen's ,Political Science ,,Associate Professor ,
"Dick,Frederick Andrew ",Ph.D. at DARTMOUTH ; BSc at Western ,Biochemistry/Oncology ,,Associate Professor ,
"Dickey,James P. ","BSc, MSc, Ph.D. Queen's; ",Kinesiology - General ,,Assistant Professor ,Graduate Chair 
"Dickie,Gordon L ",Professional U of Aberdeen GBR ,Schulich - Education Office/Family Medicine ,,Associate Professor/Professor Emeritus ,Committee Chair 
"Dickinson,Gregory Millyard ","BA, LLB, OF THE BAR OF ONTARIO ; EDD Toronto; ",Education - Office of the Dean ,,Professor ,
"Dickinson,John Kenneth ",Ph.D. Western ,Civil & Environmental ,,Adjunct Research Professor ,
"Dickinson,Stuart M. ",BA/Ph.D. UK ,Mechanical & Materials ,,Professor Emeritus ,
"Dickinson,Wendy H ","BA, Ph.D. Ontario ",Geography ,,Assistant Professor ,
"Dickson,Karen Rita ",Ph.D. Western ,Psychology ,,Lecturer ,
"DiDomenicantonio,Carla ","BS, MA Michigan; ",Communicative Sci & Disorders ,,Lecturer ,
"Dietrich,Pamela Jill ","BScN, MScN, Western; ",Nursing ,,Lecturer ,
"Digby,Victoria ","BA Michigan State, BEng Central Michigan Univ ",Bachelor of Mgmt & Org Studies ,,Lecturer ,
"Dikeakos,Dimitrios J ",BS McGill Univ QC; Ph.D. U of Montreal QC ,Microbiology & Immunology ,,Assistant Professor ,
"Diklich,Roy R. ",MD at Western ; BSc at WINDSOR ,Schulich - Education Office/Department of Medicine/Schulich ,,Adjunct/MD ,
"DiMattia,Gabriel E ",BSc MSc at DALHOUSIE ; Ph.D. at MANITOBA ,Oncology/Biochemistry/Obstetrics & Gynaecology ,,Associate Professor ,Division Head 
"Dimitrov,Nanda ",Masters Hungary; Ph.D. USA ,Education-Centre for Research ,,Adjunct Research Professor ,
"Dimitrov,Radoslav S ",BA Graceland; Ph.D. Minnesota; ,Political Science ,,Associate Professor ,
"Dimov,Stamen ","MS Sofia Univ, Ph.D. Bulgaria ",Chemistry/Surface Science ,,Adjunct Research Professor ,
"Ding,Zhifeng ","BS, MS Nanjing; Ph.D. Swiss Fed Inst of Tech(EPFL); ",Chemistry/Surface Science ,,Associate Professor ,
"Dingle,Brian ",FRCPCan BSc MD at TORONTO ,Oncology ,,Associate Professor/MD ,
"Diosy,David ",BSc MD at TORONTO ; FRCPCan at Western ,Clinical Neurological Science ,,Assistant Professor/MD ,
"Disalle,Robert J ","BA Georgetown; MA, Ph.D. Chicago; ",Philosophy ,,Professor ,
"Ditor,Seymour Z ","BSc, MSc Manitoba; Ph.D. California(Berkeley); ",Mathematics ,,Professor Emeritus ,
"Dixon,Barbara Anne ","BA Michigan State, BEng Central Michigan Univ ",Education - Continuing Educ ,,Lecturer ,
"Dixon,David Robert ",MD at Queen's ; BSc at Western ,Family Medicine - General/Schulich - Education Office ,,Adjunct/MD ,
"Dixon,Gail S ","AMUS, BMUS, LMUS McGill; Ph.D. Toronto; ",Music - Office of the Dean ,,Professor Emerita ,
"Dixon,Heather Lynn ",MD at Queen's ; BS at WATERLOO ,Family Medicine - General ,,Adjunct/MD ,
"Dixon,Jenna ","BA, MA Ontario ",Geography ,,Lecturer ,
"Dixon,S Jeffrey ",FRCDC BSc at CARLETON ; Ph.D. at TORONTO ; MSc DDS at Western ,Dentistry/Physiology and Pharmacology ,,Professor ,Vice Dean/School Director 
"Dixon,Stephanie Nicole ",Ph.D. Univ of Guelph ,Epidemiology and Biostatistics ,,Adjunct Assistant Professor ,
"Dobell,William ","BA McGill; BLITT, MA Oxon; ",Political Science ,,Professor Emeritus ,
"Dobinson,Katherine ","BSc, Ph.D. British Columbia; ",Department of Biology ,,Adjunct Research Professor ,
"Dobkowski,Wojciech Bogvslaw ",FRCPCan MD at AKAD-WARS ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,
"Dobson,Howard ",BMS U of Edinburgh GBR; DUM U of Guelph ,Medical Biophysics ,,Adjunct Research Professor ,
"Dodson,Belinda J ",BSc University of Natal; Ph.D. Cambridge; ,Geography ,,Associate Professor ,
"Doering,Michele ",FRCPCan MEd at NOVA SCOTIA ; MD at OTTAWA ,Psychiatry ,,Associate Professor/MD ,
"Doerksen,David C. ",BSc MD at WINNIPEG ,Anesthesia-Perioperative Med/Schulich - Education Office ,,Adjunct/MD ,
"Doherty,Alison J ","BA ; MPE, Ph.D. Ottawa; ",Kinesiology - General ,,Professor ,
"Doherty,Jennifer ","BSN, MSN Western ",Nursing ,,Adjunct Assistant Professor ,
"Doherty,Jennifer ","BSN, MSN Western ",Psychiatry ,,Lecturer ,
"Doherty,Timothy J ",FRCP MSc at DALHOUSIE ; MD at MCMASTER ; BEd at NEW BRUNSWIC ; Ph.D. at Western ,Kinesiology-Office of Director ,,Associate Professor/MD ,
"Doherty,Timothy J ",FRCP MSc at DALHOUSIE ; MD at MCMASTER ; BEd at NEW BRUNSWIC ; Ph.D. at Western ,Physical Medicine and Rehab ,,Associate Professor/MD ,Department Chair 
"Dolishny,Vanessa ",BA Western ,Sociology ,,Lecturer ,
"Dolphin,Alexis Emma ","BA, MA Western, Ph.D. U of Massachusetts ",Anthropology ,,Adjunct Research Professor ,
"Dombroski,Colin ","BS, Ph.D. Western ",Physical Therapy ,,Adjunct Research Professor ,
"Dominguez Navarro,David ",BA Univ of Valladolid ,Modern Languages & Literatures ,,Lecturer ,
"Donahue,Paula Catherine ",FRCPCan MD at Western ,Oncology ,,Adjunct/MD ,
"Donald,Christopher ",BMS U of Otago New Zealand; MD Western ,Family Medicine - General ,,Adjunct/MD ,
"Donaldson,George ","MA Glasgow, Ph.D. McMaster ",English ,,Assistant Professor ,
"Donelle,Lorie F ","BA, BScN, MA, Ph.D. Waterloo; ",Nursing /School of Health Studies ,,Associate Professor ,
"Donly,Cameron B. ","BSc, Ph.D. ; ",Department of Biology ,,Adjunct Research Professor ,
"Donner,Allan ",Ph.D. at HARVARD ; BSc MSc at MANITOBA ,Epidemiology and Biostatistics/Robarts Clinical Trials ,,Professor ,
"Donovan,Keith ",BSc FRCP MD at DALHOUSIE ,Department of Medicine ,,Associate Professor/MD ,
"Doralp,Samantha Simay ",BS McMaster Univ; MS Western ,School of Health Studies ,,Lecturer ,
"Dostaler,Monique R ","BOTH, MD U of Ottawa ",Family Medicine - General ,,Adjunct/MD ,
"Dounavis,Anestis ","BEng (Elect) Montreal; MEng (Elect), Ph.D. (Elect) Ottawa; ",Electrical & Computer ,,Associate Professor ,
"Dourova,Nevena ",MD Medical Univ of Sovia BULGARIA ,Psychiatry ,,Adjunct/MD ,
"Dove,Michael F ","BA, Memorial Univ of NF; MA, Western; Ph.D. Western ",History ,,Assistant Professor ,
"Downie,Andrea ","BA, Ph.D. Queen's ",Paediatrics ,,Adjunct Clinical Professor ,
"Downs,Philip ","BA Leeds; MMUS, Ph.D. Toronto; ",Music - Office of the Dean ,,Professor Emeritus ,
"Doyle-Pettypiece,Patricia ","Bachelors, Master ON ",Nursing ,,Adjunct Assistant Professor ,
"Doyle,Emerson Philip ","BA, Univ of Toronto; MA, Western ",Philosophy ,,Lecturer ,
"Doyle,Mary Carol ",BA ; MA Western; ,Info & Media Studies - General ,,Professor Emeritus ,
"Doyle,Philip ","BA, MA, Ph.D. California; ",Communicative Sci & Disorders ,,Professor ,
"Doyle,Philip ","BA, MA, Ph.D. California; ",Otolaryngology ,,Professor ,
"Doyle,Sharon Ellen ",MD Western ,Family Medicine - General/Schulich - Education Office ,,Adjunct/MD ,
"Dozois,David ",BA MS Ph.D. at CALGARY ,Psychiatry ,,Professor ,
"Dozois,David ",BA MS Ph.D. at CALGARY ,Psychology ,,Professor ,
"Dragland,Stanley L ","BA, MA Alberta; Ph.D. Queen's; ",English ,,Professor Emeritus ,
"Drangova,Maria ",MSc at MCGILL ; BASc at TORONTO ; Ph.D. at Western ,Medical Biophysics/Department of Medical Imaging/Robarts ,,#NAME?,
"Dresser,George Kenneth ",MD FRCP at Western ,Department of Medicine ,,Associate Professor/MD ,
"Dreyer,Jonathan F ",FRCPCan BSc MDCM at MCGILL ,Department of Medicine ,,Professor/MD ,
"Driedger,Albert A ",FRCPCan MD Ph.D. at SASKATCHEWAN ,Department of Medical Imaging/Oncology ,,Professor Emeritus ,
"Driediger,Molly Victoria ","BA, , MA, Ph.D. Western ",Kinesiology-Office of Director ,,Associate Professor ,
"Driessen,Cornelis H. ","BCHD, MSc, Ph.D. Pretoria; ",Dentistry ,,Assistant Professor ,
"Driessens,Sarah ",MA Western ,Sociology ,,Lecturer ,
"Driman,David K ",FRCPCan MBChB at CAPE TOWN ,Surgery/Pathology ,,Professor/MD ,
"Drosdowech,Darren ",FRCSCan MD at MANITOBA ; BSc at WINNIPEG ,Surgery ,,Associate Professor/MD ,
"Drozdow-St.Christian,Douglass ","BA, MA, Ph.D. McMaster; ",Anthropology ,,Associate Professor ,
"Dryden,Annabelle ",BA McGill; MSc Ed New York State; Ph.D. Illinois (Urbana Champaign); ,Education - Office of the Dean ,,Professor Emerita ,
"Dryden,John R ","BASC, Ph.D. Windsor; PEng ; ",Mechanical & Materials ,,Professor ,
"Drysdale,David John ","BA U of Victoria, MA U of Alberta, Ph.D. McGill ",Centre for American Studies ,,Assistant Professor ,
"Drysdale,David John ","BA U of Victoria, MA U of Alberta, Ph.D. McGill ",English ,,Assistant Professor ,
"Drysdale,Thomas A ",BSc MSc at GUELPH ; Ph.D. at TORONTO ,Paediatrics/Physiology and Pharmacology ,,Associate Professor ,
"Du,Jun ","BS, MS China U of Geosciences, CHN ",Computer Science ,,Lecturer ,
"Dua,Varinder ",MBBS at PUNJAB AGR ; FRCP at Western ,Psychiatry ,,Associate Professor/MD ,
"Dube,Suzanne M ","BA, BED McMaster Univ ",Education - Preservice Office ,,Lecturer ,
"Dubois,John ","BSc, MD Michigan; FRCPCan ",Psychiatry ,,Professor Emeritus ,
"Dubois,Stephanie ","BA Laurential, Ph.D. Ball State Univ ",Psychology ,,Adjunct Clinical Professor ,
"Ducharme,Alain ",BA Regina SK; MART Western ,Philosophy ,,Lecturer ,
"Ducharme,Leslie Anne ","BA, Professional Ontario ",Nursing ,,Lecturer ,
"Ducharme,Troy Leonard Paul ","BMus, MMus Western ",Music - Research & Composition ,,Assistant Professor ,
"Duennwald,Martin ","DGER andPh.D., Univ of Cologne, DEU ",Pathology ,,Associate Professor ,
"Duff,Elsie ",BSN Brandon MB; MSN Athabasca Alberta ,Nursing ,,Adjunct Assistant Professor ,
"Duff,John H ",MD Toronto; FRCSCan ,Surgery ,,Professor Emeritus ,
"Duffield,Christine Margaret ","B.Sc.N., Western ",Nursing ,,Adjunct Professor ,
"Duggal,Neil ",FACS BSc MD at OTTAWA ; FRCS MS at Western ,Clinical Neurological Science/Medical Biophysics/Otolaryngol ,,Associate Professor/MD ,
"Duggal,Rishi ",BS Western; MD U of Ottawa ,Department of Medical Imaging/Schulich - Education Office ,,Adjunct/MD ,
"Duggal,Vikas ",FRCPCan DMD MD at OTTAWA ; BSc at TORONTO ; BSc at Western ,Psychiatry ,,Assistant Professor/MD ,
"Duke,Norman A ","BSc, MSc ; Ph.D. Manitoba; ",Earth Sciences ,,Associate Professor ,
"Dukelow,Adam Michael ",BSc at GUELPH ; MD FRCP at Western ,Department of Medicine ,,Assistant Professor/MD ,
"Dulay,Jaspal(Paul) ",BS U of Windsor; MD Univ of Torontooronto ,Department of Medicine/Family Medicine - General ,,Adjunct/MD ,
"Dumlavwalla,Diana ",BMUS Wilfrid Laurier Univ; DMU Univ of Toronto ,Music - Performance Studies ,,Assistant Professor ,
"Dunbar,Craig ","BASC Toronto; MS, Ph.D. Rochester; SM MIT; ",Business - Associate Dean ,,Associate Professor ,
"Dunham,Charles B ",BA UBC; Ph.D. Western; ,Computer Science ,,Professor Emeritus ,
"Dunikowski,Lynn Gray ",BA at GUELPH ; MLS at Western ,Family Medicine - General ,,Lecturer ,
"Dunn-Prosser,Barbara ","BA, MA, BEd Queen's ",Music - Performance Studies ,,Lecturer ,
"Dunn,Ian Ward ",BBA/BACS Western ,Business - Associate Dean ,,Assistant Professor ,
"Dunn,Stanley D ",BS at NEBRASKA ; Ph.D. at UCAL-BERK ,Biochemistry ,,Professor ,
"Dunning Zwicker,Cynthia ","BEng(Mech) Technical University of Nova Scotia; MSc, Ph.D. Western; PEng ; ",Mechanical & Materials ,,Associate Professor ,
"Dunning Zwicker,Cynthia ","BEng(Mech) Technical University of Nova Scotia; MSc, Ph.D. Western; PEng ; ",Surgery ,,Associate Professor/MD ,
"Dupraz,Jean Y ","DEAIIIe Dijon; L, M, SL, SL Grenoble; ",French Studies ,,Professor Emeritus ,
"Dupre,John ",FRCPCan BA BSc MA BMBCh at OXFORD ,Department of Medicine ,,Emeritus ,
"Dutour,Olivier J ","MD, Ph.D. Univ of Aix-Marseille FRA ",Anthropology ,,Adjunct Professor ,
"Duwyn,Rejean Paul ",MD Western ,Family Medicine - General ,,Adjunct/MD ,
"Dworkin,Rochelle Leslie ",MD at ALBERTA ,Family Medicine - General/Schulich - Education Office ,,Adjunct/MD ,
"Dyck,Corey ",BA UBC; MA Katholieke Universiteit te Leuven; Ph.D. Boston College; ,Philosophy ,,Associate Professor ,
"Dyck,Jason Chad ",BA Brock Univ; Ph.D. Univ of Toronto ,History ,,Assistant Professor ,
"Dyczok,Marta ",BA Toronto; MA London (LSE); DPHIL Oxford ,History/Political Science ,,Associate Professor ,
"Dyke,Debbie ",MD at MEMORIAL ,Family Medicine - General ,,Adjunct/MD ,
"Dyke,Keith A ",BS MD at MEMORIAL ,Family Medicine - General ,,Adjunct/MD ,
"Dykstra,Allyson D. ",BSc Queen's; MSc Western; Ph.D. Western; ,Communicative Sci & Disorders ,,Assistant Professor ,
"Dyson,Charles Wilbert ",FRCSCan; MD ,Ophthalmology ,,Clinical Professor Emeritus ,
"Eadie,Thomas Michael ","BA, MA, BEd Queen's ",Info & Media Studies - General ,,Lecturer ,
"Eagleson,Roy Arthur ","BESc, MESc, Ph.D., P.Eng. ",Electrical & Computer ,,Associate Professor ,
"Eakins,Stephen G ",FRCR FRCPCan BA BAO MBBCh at DUBLIN ,Diagnost Radiol & Nuclear Med ,,Professor Emeritus ,
"Eastabrook,Genevieve ",BS Queen's Univ; MD Univ of Calgary AB ,Obstetrics & Gynaecology ,,Assistant Professor/MD ,
"Eastwood,Diane ",FRCP at DALHOUSIE ; BSc at MCMASTER ; MD at Queen's ,Psychiatry ,,Adjunct/MD ,
"Eayrs,Brock J ","MA, LLB Victoria; BA Simon Fraser ",Arts - Writing ,,Lecturer ,
"Ebanks,G Edward ","BA London; MA, Ph.D. Cornell; ",Sociology ,,Professor Emeritus ,
"Eberhard,Frances ","BA, MA ; ",Educ - Physical & Health Educ ,,Professor Emeritus ,
"Eberhard,R Stuart ",FRCPCan FACP MD at Western ,Department of Medicine ,,Adjunct/MD ,
"Ebisuzaki,Kaney ",BSc at Western ; MS Ph.D. at WISCONSIN ,Biochemistry ,,Adjunct Professor/Professor Emeritus ,
"Eby,Donald Harold ","BA Western, MD Univ of Toronto ",Department of Medicine/Schulich - Education Office ,,Adjunct/MD ,
"Eddleston,Pamela ",BSC U of New Brunswick ,Music - Dance ,,Lecturer ,
"Edelstein,Susan ",BFA Emily Carr; MA Western ,Visual Arts ,,Lecturer ,
"Edge,Douglas R ","BSc, MEd McGill; Ph.D. Maryland; ",Education - Office of the Dean ,,Professor Emeritus ,
"Edgell,David R. ",Ph.D. at DALHOUSIE ; BSc at VICTORIA ,Biochemistry ,,Associate Professor ,
"Edington,Bruce ",CCFPC MD at Western ,Family Medicine - General ,,Adjunct/MD ,
"Edmonds,Marcia Lynn ",MD FRCP FRCPCan MSc MSc at ALBERTA ; MD at Western ,Department of Medicine ,,Associate Professor/MD ,
"Edmonds,Merrill ",FRCPCan MD at Western ,Department of Medicine ,,Professor/MD ,
"Edmunds,Alan ","BEd, MEd New Brunswick; Ph.D. Alberta; ",Education - Office of the Dean ,,Associate Professor ,
"Edwards,Dianne Leslie ",Bachelors ON; MED Univ of Toronto ,Education - Preservice Office ,,Lecturer ,
"Edwards,Wayne Neil ","BS, Ph.D. Western ",Physics and Astronomy ,,Adjunct Research Professor ,
"Edwards,Wendy ",BScN MD at MCMASTER ,Paediatrics/Schulich - Education Office ,,Adjunct/MD ,
"Edwardson,Barbara Mary ",MED Western; Bphy U of Manitoba ,Health Sciences- Dean's Office ,,Professor Emerita ,
"Efron,Don ",BA Macalester College USA; MSW Wayne State Univ USA ,Education - Office of the Dean ,,Lecturer ,
"Egan,Raymond R ",FRCPCan MD MD at Western ,Psychiatry ,,Adjunct/MD ,
"Egerdie,Russell B ","BS, MD Queen's U ",Surgery ,,Adjunct/MD ,
"Ehrman,Joachim B. ","Bachelors, Ph.D. USA ",Applied Mathematics ,,Professor Emeritus ,
"Eichstedt,Julie ",MA Ph.D. at CONCORDIA ; BS at TORONTO ,Psychiatry ,,Lecturer ,
"Eichstedt,Julie ",MA Ph.D. at CONCORDIA ; BS at TORONTO ,Psychology ,,Adjunct Clinical Professor ,
"Eisenhauer,Mary Alison ",FRCPCan MD at Queen's ,Department of Medicine/Oncology ,,Associate Professor/MD ,
"El Ansary,Ayman Mohamed ","BA; MSc Alexandria Univ, EGY; Ph.D. Western ",Civil & Environmental ,,Lecturer ,
"El Damatty,Ashraf ","BSc, MSc Cairo; Ph.D. McMaster; P. Eng. ",Civil & Environmental/Engineering WindEEE ,,Professor ,Research Director 
"El Naggar,Hany Hamed ","M.E.Sc., Western; Ph.D., Western ",Civil & Environmental ,,Adjunct Research Professor ,
"El Naggar,Hesham M ","BSc, MSc Alexandria; Ph.D.; P.Eng. ",Engineering Research/Grad Srvc ,,Professor ,"Associate Dean (Research,Grad) "
"El-Masri,Maher ","MS, Ph.D. Univ Maryland School of Nursing ",Epidemiology and Biostatistics/Schulich - Education Office/Sc ,,Adjunct Research Professor ,Course Coordinator 
"El-Najjar,mai Mohamed ",,Dentistry ,,Adjunct Clinical Professor ,
"El-Sakka,Mahmoud ","BSc, MSc Alexandria; Ph.D. Waterloo; ",Computer Science ,,Associate Professor ,
"El-Salviti,Gamal ",MBBCh Egypt ,Surgery/Schulich - Education Office ,,Adjunct/MD ,
"El-Sayegh,Tarek ",DDS Univ of Toronto; Ph.D. Univ of Toronto ,Dentistry ,,Assistant Professor ,
"Elalem,Abdusalam A ",MBBCh Alfatah ,Surgery/Schulich - Education Office ,,Adjunct/MD ,
"Elashaal,Abdelrahman A ",MSBBS AlArab ,Surgery/Schulich - Education Office ,,Adjunct/MD ,
"Elbreki,Mustafa ",,Otolaryngology/Schulich - Education Office ,,Adjunct/MD ,
"Elfiki,Tarek ",MBCHB Ganyounis Univ LIBYAN ARAB JAMAHIRIYA ,Oncology/Schulich - Education Office ,,Adjunct/MD ,
"Elhajj,May ","BS, MD Amer Univ of Beruit LBN ",Obstetrics & Gynaecology/Schulich - Education Office ,,Adjunct/MD ,
"Eligh,Linda ","BA Ontario, MA BC ",Bachelor of Mgmt & Org Studies ,,Lecturer ,
"Elkeilani,Akram ","MBCHB Al Arab Med Univ, Libya, LBY; MS U of Garyounic,Libya LBY ",Pathology/Schulich - Education Office ,,Adjunct/MD ,
"Ellett,Frederick S ","BS, MS, Ph.D. Cornell; ",Education - Office of the Dean/Education - Preservice Office ,,Professor Emeritus ,
"Elliott,Bridget J ",BA Toronto; MA UBC; Ph.D. London; ,Visual Arts ,,Professor ,
"Elliott,James A ",FRCPCan MD at Western ,Department of Medical Imaging ,,Associate Professor/MD ,
"Ellis,Christopher Gerald ",BEng at MCMASTER ; Ph.D. at NORTHWESTERN ,Department of Medicine/Medical Biophysics ,,Professor ,
"Ellis,Christopher J ",BA Waterloo; MA McMaster; Ph.D. Simon Fraser; ,Anthropology ,,Professor ,
"Ellis,Jack ",Professional Queen's Univ; Bachelors ON ,Psychiatry - Ext Camp Program ,,Adjunct/MD ,
"Ellis,Jason A ",BAH Queen's; MA York U ,Education - Preservice Office ,,Assistant Professor ,
"Elsadi,Salman ",MD CCFP at CALGARY ; CCFP(EM) at OTTAWA ; MD at U SCI& TECH ,Department of Medicine ,,Assistant Professor/MD ,
"Elsayed,Sameer ","BSc Western, MD Queen's ",Pathology/Department of Medicine ,,Associate Professor/MD ,
"Elsdon,Thomas C ",MD at Western ; BSc at WATERLOO ,Surgery/Schulich - Education Office ,,Adjunct/MD ,
"Emanuele,Andrew Dominic ",,Dentistry ,,Adjunct Clinical Professor ,
"Emara,Barry Yehia ",Professional ON ,Ophthalmology/Schulich - Education Office ,,Adjunct/MD ,
"Emberley,Julia Vivienne Charlotte ",BA Western; MA Queen's; Ph.D. York; ,English ,,Professor ,
"Emerson,Roger L ","AM Brown; BA Dartmouth; MA, Ph.D. Brandeis; ",History ,,Professor Emeritus ,
"Emery,George N ",BA Queen's; Ph.D. British Columbia; ,History ,,Professor Emeritus ,
"Emery,John R ",HBA; BEd ,Education - Preservice Office ,,Lecturer ,
"Englert,Peter Sebastian ",MD at MCMASTER ; BSc at Western ,Family Medicine - General/Schulich - Education Office ,,Adjunct/MD ,
"Enns,Kelvin I ",BMUS Brandon Univ MB ,Music - Performance Studies ,,Lecturer ,
"Epp,Jennifer ",BA Wilfrid Laurier; MART Dalhousie Univ NS ,Philosophy ,,Lecturer ,
"Eramian,Gregory M ","BA, Ph.D. Brown; MA Columbia; ",Modern Languages & Literatures ,,Professor Emeritus ,
"Ernst,Scott D. ",FRCPCan at ALBERTA ; BSc MD at OTTAWA ,Oncology ,,Professor/MD ,Division Head 
"Erskine,James A ","BESc, MBA Western; DBA Indiana; ",Business - Associate Dean ,,Professor Emeritus ,
"Eshmatov,Alimjon ",BSc Tashkent State Univ UZB; Ph.D. Cornell Univ USA ,Mathematics ,,Lecturer ,
"Esses,Victoria M ","BSc ; MA, Ph.D. Toronto; ",Psychology/Migration & Ethnic Relations ,,Professor ,
"Essex,Chris ",BSc ; MS Rice; Ph.D. York(Can); ,Applied Mathematics ,,Professor ,
"Esson,Patrice L ",DDS Univ of Toronto; Ph.D. Univ of Toronto ,Psychology ,,Assistant Professor ,
"Esterhammer,Angela ","BA Ontario, MA Germany, Ph.D. Princeton ",Modern Languages & Literatures ,,Adjunct Research Professor ,
"Etemad-Rezai,Roya ",BSc at CONCORDIA ; MD at Queen's ; FRCPCan at Western ,Department of Medicine/Department of Medical Imaging ,,Associate Professor/MD ,
"Ettler,Helen C ",FRCP MBChB at CAPE TOWN ,Pathology ,,Associate Professor/MD ,
"Eurich,Liza ",BA Simon Fraser Univ BC; MFA Western ,Visual Arts ,,Lecturer ,
"Evans,Barrie ",MA Ph.D. at Queen's ; BA at STRATHCLYDE ,Psychiatry ,,Adjunct Assistant Professor ,
"Evans,Barrie ",MA Ph.D. at Queen's ; BA at STRATHCLYDE ,Psychology ,,Adjunct Clinical Professor ,
"Evans,Elspeth Mair ","BA, Ph.D. Western ",Psychology ,,Adjunct Clinical Professor ,
"Evans,H Brian ",FRCSCan MD at Western ,Surgery ,,Associate Professor/MD ,
"Evans,Marilyn K. ","BScN McMaster; MScN, Ph.D., Alberta; ",Nursing ,,Assistant Professor ,
"Evans,Stephen John ",Masters Canada ,Geography ,,Lecturer ,
"Evans,Terry ","BA Western, MD U of Ottawa ",Department of Medicine ,,Adjunct/MD ,
"Everling,Stefan ",BSc MSc BSc Ph.D. at BREMEN ,Psychiatry/Robarts - Imaging/Physiology and Pharmacology ,,Professor ,
"Everling,Stefan ",BSc MSc BSc Ph.D. at BREMEN ,Psychology ,,Professor ,
"Faber,Kenneth J ",BSc at CALVIN COL ; MD at TORONTO ,Surgery ,,Associate Professor/MD ,Program Director/Committee Chair 
"Faden,Lisa ","BA Amherst College, USA; M.Ed., Harvard Univ; Ph.D., Western ",Education - Graduate Education ,,Assistant Professor ,
