Name,Degrees,Department,Department2,Rank,AdministrativePosition
"Al-Dhaher,Firas Fadhel ","BS, MD Western ",Family Medicine - General ,,Adjunct/MD ,Program Director 
"Al-Dweik,Arafat ","Bachelor, Yarmouk Univ, Jordan; MSc, Cleveland; PhD., Cleveland State Univ ",Electrical & Computer ,,Adjunct Research Professor ,
"Al-Osman,Abdulrahman ","DDS, DIP PERIODONTICS Mantiboa; DIP. PROSTHODONTICS Damasucs, Syria; ",Dentistry ,,Assistant Professor ,
"Al-Rais,Reta ",DDS Western ,Dentistry ,,Adjunct Clinical Professor ,
"Al-Tatari,Hossam M ",MD Univ Med School Debrecen Hungary ,Schulich - Education Office/Paediatrics ,,Adjunct/MD ,
"Ala,Brigitte Darleen ","BSc U of Windsor, MD Western ",Schulich - Education Office/Department of Medicine ,,Adjunct/MD ,
"Alam,Huma Aftab ","BS, MB Punjab U Pakistan ",Family Medicine - General ,,Adjunct/MD ,
"Alam,Muhammad Mumtaz ","MBBS King Edward Medical Univ, PAK; ",Family Medicine - General ,,Adjunct/MD ,
"Alam,Yasmin Zeenat ",MD at DHAKA/DACCA ,Schulich - Education Office/Oncology ,,Adjunct/MD ,
"Albanese,Mary Lou ",BSN Univ of Toronto; ,Nursing ,,Lecturer ,
"Albion,Katherine Jennifer ","BESc, Ph.D. Western ",Chemical &Biochem Engineering ,,Adjunct Research Professor ,
"Albrecht,Craig Wallace ",MD at Western ; BS at WATERLOO ,Family Medicine - General ,,Adjunct/MD ,
"Alcock,Greg Kenneth ","BA, MSc ; ",Kinesiology-Office of Director ,,Lecturer ,
"Alder,Robert John ",BS McMaster; Ph.D. Univ of Torontooronto ,Epidemiology and Biostatistics/Schulich - Office Global Health ,,Adjunct Associate Professor ,Associate Director 
"Aldis,Joan Leslie ","BA, Med Western ",Education - Graduate Education ,,Lecturer ,
"Aldrich,Ralph F. ","BMUS Victoria(NZ); LGSM, LRSM London; ",Music - Office of the Dean ,,Professor Emeritus ,
"Alessi,Charles ","LRCP MRCS, St. George Hospital Med, UK ",Business - Associate Dean ,,Adjunct Research Professor ,
"Ali,Asim ",BS Queen's Univ; MD Western ,Political Science ,,Lecturer ,
"Alkhasawneh,Morad ","DDS, Dalhousie Univ ",Dental Clinics ,,Adjunct Clinical Professor ,
"Allahar,Anton L ","BA, MA, Ph.D. Toronto; THE UNIVERSITY OF WESTERN ONTARIO EXCELLENCE IN TEACHING AWARD (1988) ; ",Sociology ,,Professor ,
"Allain,Suzanne ",FRCPCan MD at TORONTO ,Psychiatry - Ext Camp Program ,,Adjunct/MD ,
"Allan,Alison ",BSc Ph.D. at GUELPH ,Anatomy & Cell Biology/Oncology ,,Associate Professor ,
"Allen,Andrea Stevenson ",BA Rochester; MA Chicago; MBA York(Can); Ph.D. Wayne State; ,Womens' Studies ,,Assistant Professor ,
"Allen,Charlotte ",BA Freiburg; MA Lowa; MA Ohio; Ph.D. Cologne ,Nursing ,,Lecturer ,
"Allen,Larry Hugh ",FRCSCan MD at RCP IRELAND ; BA at Western ,Ophthalmology ,,Associate Professor/MD ,Program Director 
"Allen,Natalie Jean ",BA Mt Allison; MA Dalhousie; Ph.D. ; ,Psychology ,,Professor ,
"Allen,Prudence ",BSED ; MA Buffalo; Ph.D. Wisconsin; ,Communicative Sci & Disorders/National Centre for Audiology ,,Associate Professor ,
"Allen,Teri ","BA,MSW Laurier ",Family Medicine - General ,,Lecturer ,
"Allevato,Pat A ",MD at TORONTO ; BS at WINDSOR ,Schulich - Education Office/Pathology ,,Adjunct/MD ,
"Allison,Derek J ","BEd, MEd, Ph.D. Alberta ",Education - Office of the Dean ,,Associate Professor ,
"Allman,Brian Leonard ",BS Western; Ph.D. Western ,Anatomy & Cell Biology ,National Centre for Audiology ,Assistant Professor ,
"Allnatt,Alan R ","BSc, Ph.D. London; ",Chemistry ,,Professor Emeritus ,
"Almond,Richard George ",MD at Western ,Family Medicine - General ,,Adjunct/MD ,
"Alsaden,Mohamed R ",FRCPCan MBChB at BAGHDAD ,Anesthesia-Perioperative Med/Schulich - Education Office ,,Adjunct/MD ,
"AlShahrouri,Huda ","BSc U of Baghdad Iraq, DDS Western ",Dental Clinics ,,Adjunct Clinical Professor ,
"Altahan,M Walid ","BA Syrian Arab Republic, MA Ontario ",Mechanical & Materials ,,Lecturer ,
"Altamirano-Diaz,Luis ","MBBS U Mayor de San Simon, BOL ",Paediatrics ,,Assistant Professor/MD ,
"Altenhof,William ",BS U of Windsor; Ph.D. U of Windsor ,Mechanical & Materials ,,Adjunct Research Professor ,
"Amann,Justin Hugo ",BASc MASc at TORONTO ; MD at Western ,Department of Medical Imaging ,,Associate Professor/MD ,Program Director 
"Amornsang,Wasan ","CERT. MAXILLOFACIAL PROSTHETICS New Orleans, Louisiana; CERT. MAXILLOFACIAL PROSTHODONTICS Pittsburh, Pennsylvania; CERT. PROSTHODONTICS MS Houston, Texas; DDS Bangkok, Thailand; MSc London; ",Dentistry ,,Assistant Professor ,
"Anand,Sondekere K ",DA at BANGALORE ; MBBS at KARNATAK ,Anesthesia-Perioperative Med/Schulich - Education Office ,,Adjunct/MD ,
"Andersen,Jennifer Else Fischer ","BS, Univ of Toronto; MED, Western ",Education - Office of the Dean ,,Lecturer ,
"Anderson,Alexander R. ",BA Toronto; Ph.D. Brown; ,Modern Languages & Literatures ,,Professor Emeritus ,
"Anderson,Brian ",BS U of Colorado; Ph.D. Indiana Univ ,Business - Associate Dean ,,Assistant Professor ,
"Anderson,Cameron D ",BA Alberta; MSc LSE; Ph.D. McGill ,Political Science ,,Associate Professor ,
"Anderson,Ian ",FRCPCan AB MBChB at ABERDEEN ,Anesthesia-Perioperative Med ,,Associate Professor/MD ,Program Director 
"Anderson,Karen ","BSc., Western; MSc., Western; Bach Ed., Western ",Nursing /Health & Rehab Sciences Prgm ,,Lecturer ,
"Anderson,Mariela Ines ","DDS, MCD Western ",Dental Clinics ,,Adjunct Clinical Professor ,
"Anderson,Mark ","BS, USA; Ph.D. USA ",Chemical &Biochem Engineering ,,Adjunct Research Professor ,
"Anderson,Scott Bruce ",FRCP MD at Western ,Department of Medicine ,,Associate Professor/MD ,
"Andress,Claudette Marie ",BA U of Windsor; BED U of Windsor ,Education - Preservice Office ,,Lecturer ,
"Andrews,James H ","BSc, MSc British Columbia; Ph.D. Edinburgh; ",Computer Science ,,Associate Professor ,
"Andrusyszyn,Mary-Anne ","BScN McGill; MScN, RegN ; Ph.D. Toronto; ",Nursing ,,Professor ,School Director 
"Ang,Lee-Cyn ",FRCPath MBBS at SINGAPORE ; FRCPCan at Western ,Pathology ,,Professor/MD ,Program Director 
"Angeles,M.Carmen ","BS U of Philippines, PHL: MD U of Philippines, PHL ",Anesthesia-Perioperative Med ,,Adjunct/MD ,
"Ankney,C Davison ",BSc Michigan; Ph.D. ; ,Department of Biology ,,Professor Emeritus ,
"Annen,Albert A. ",CCFP FCFPC BA MD at Western ,Family Medicine - General ,,Assistant Professor/MD ,
"Annett,Nancy Lorraine ",BA U of Guelph; MBA Western ,Bachelor of Mgmt & Org Studies ,,Lecturer ,
"Annis,Rob ",BS Univ of Toronto; MD Univ of Toronto ,Family Medicine - General ,,Adjunct/MD ,
"Ansari,Daniel ","BA Univ of Sussex UK, Ph.D. Univ College London UK ",Psychology ,,Associate Professor ,
"Ansari,Emily Theodosia Abrams ","BA Durham Univ UK, MA Oxford Univ UK ",Music - Office of the Dean ,,Assistant Professor ,
"Anthony,Susan Elizabeth ","BScN, MScN, RegN ; ",Nursing ,,Assistant Professor ,
"Antone,Robert ","MART, State Univ of New York ",First Nations Studies Program ,,Lecturer ,
"Antonenko,Irene ","Ph.D. Brown Univ, USA ",Earth Sciences ,,Adjunct Research Professor ,
"Antoniou,Andreas ",BS U of Ottawa; MD Univ of Torontooronto ,Anesthesia-Perioperative Med ,,Assistant Professor/MD ,
"Aoun,Lawrence ",BS U of Windsor; MD Univ of Torontooronto ,Schulich - Education Office/Family Medicine - General ,,Adjunct/MD ,Assistant Coordinator 
"Appavoo,Sam ",BS at GUELPH ; MD at MCMASTER ,Family Medicine - General/Schulich - Education Office ,,Adjunct/MD ,Program Director 
"Appelton,Alison ",BS McGill Univ; MD Univ of Toronto ,Family Medicine - General ,,Adjunct/MD ,
